startup_rate1,startup_rate2,startup_rate3,startup_rate4,startup_rate5,startup_rate6,startup_rate7,startup_rate8,startup_rate9,startup_rate10,startup_rate11,startup_rate12,startup_rate13,startup_rate14,startup_rate15,startup_rate16,startup_rate17,startup_rate18,startup_rate19,startup_rate20,startup_rate21,startup_rate22,startup_rate23,startup_rate24,startup_rate25,startup_rate26,startup_rate27,startup_rate28,startup_rate29,startup_rate30,startup_rate31,startup_rate32,startup_rate33,startup_rate34,startup_rate35,startup_rate36,startup_rate37,startup_rate38,startup_rate39,startup_rate40,startup_rate41,startup_rate42,startup_rate43,startup_rate44,startup_rate45,startup_rate46,startup_rate47,startup_rate48,startup_rate49,startup_rate50,startup_rate51,startup_rate52,startup_rate53,startup_rate54
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
15,15,15,15,250,150,15,50,15,15,150,175,15,15,50,15,50,15,15,50,125,125,50,50,100,100,50,210,210,150,40,15,10,50,50,250,50,15,325,250,10,25,150,150,150,10,50,50,10,25,50,50,50,25
